Open Positions
Token	Dir	Entry	Current	P&L %	P&L $	Size	Eff. Size	Lev	SL	TP	Signal	Opened
AXS	SHORT	$1.1158	$1.1158	+0.00%	+$0.00	$50.0	$250.0	5x	$3.354300	$1.0622	conf-1s	2026-04-05 02:16
CC	SHORT	$0.1403	$0.1403	+0.00%	+$0.00	$50.0	$150.0	3x	$0.143086	$0.1333	conf-1s	2026-04-05 02:15
HEMI	SHORT	$0.0085	$0.0085	+0.00%	+$0.00	$50.0	$150.0	3x	$0.008646	$0.0080	conf-1s	2026-04-05 02:15
TST	SHORT	$0.0084	$0.0084	+0.00%	+$0.00	$50.0	$150.0	3x	$0.008418	$0.0080	conf-3s	2026-04-05 00:48
INIT	LONG	$0.0814	$0.0820	+0.00%	+$0.00	$50.0	$150.0	3x	$0.081468	$0.0854	conf-3s	2026-04-05 00:48
ASTER	SHORT	$0.6658	$0.6661	+0.00%	+$0.00	$50.0	$250.0	5x	$0.670642	$0.6329	conf-1s	2026-04-05 00:46
UNI	SHORT	$3.1186	$3.1073	+0.00%	+$0.00	$50.0	$250.0	5x	$3.130578	$2.9644	conf-1s	2026-04-05 00:46
WCT	LONG	$0.0553	$0.0559	+0.00%	+$0.00	$50.0	$150.0	3x	$0.055406	$0.0580	conf-3s	2026-04-05 00:46
EIGEN	LONG	$0.1521	$0.1522	+0.00%	+$0.00	$50.0	$250.0	5x	$0.151470	$0.1597	conf-2s	2026-04-05 00:46
NIL	LONG	$0.0335	$0.0331	+0.00%	+$0.00	$50.0	$150.0	3x	$-0.033569	$0.0352	conf-2s	2026-04-05 00:46
